cobranca_id,cliente_id,data_vencimento,data_pagamento,valor_cobranca,status_cobranca,tipo_cobranca,forma_pagamento,criado_em
1,5160,2024-05-08 00:00:00,2024-05-17 00:00:00,"R$ 4118,00",Paga,mensalidade,cartao,28/04/2024
2,6108,2022-07-05,2022-07-09,"4933,60",pago,upsell,boleto,2022-06-25 00:00:00
3,6943,08/11/2021 00:00,,"4712,88",atrasada,upsell,pix,2021-10-29
4,1376,23/05/2022,2022-05-28 00:00:00,"2752,46",Paga,mensalidade,cartao,13/05/2022 00:00
5,2226,03/07/2022 00:00,28/06/2022 00:00,"R$ 2516,00",Paga,setup,cartao,2022-06-23
6,5205,2021-08-02,,"R$ 1704,00",em aberto,setup,pix,2021-07-23 00:00:00
7,3650,12/02/2023 00:00,44973,"R$ 2963,00",Paga,Mensal,cartao,2023-02-02 00:00:00
8,6553,2023-09-09 00:00:00,45186,"R$ 4219,00",Paga,mensalidade,boleto,45168
9,6123,03/04/2024 00:00,,700.60,aberta,setup,cartao,2024-03-24
10,5918,10/01/2024,2024-01-12,"428,99",paga,upsell,boleto,45291
11,6737,44891,,250.11,atrasada,Mensal,boleto,2022-11-16
12,8284,44587,,"R$ 408,00",em aberto,Mensal,cartao,16/01/2022
13,8642,14/03/2023 00:00,45009,"1984,69",pago,Mensal,boleto,44989
14,2859,13/06/2023 00:00,17/06/2023 00:00,4307.12,Paga,Mensal,pix,03/06/2023
15,6351,17/01/2020 00:00,2020-01-21 00:00:00,1570.37,pago,upsell,pix,07/01/2020
16,8579,29/07/2024,01/08/2024 00:00,"4627,24",paga,upsell,,19/07/2024
17,5475,2023-05-01 00:00:00,,811.87,aberta,setup,cartao,2023-04-21 00:00:00
18,8658,2022-12-14 00:00:00,11/12/2022,"1829,72",Paga,mensalidade,pix,2022-12-04 00:00:00
19,3187,44726,44725,"R$ 2336,00",paga,upsell,pix,44716
20,1231,10/03/2022,2022-03-07 00:00:00,"R$ 4455,00",paga,upsell,,28/02/2022
21,3884,2020-04-17,18/04/2020,4621.99,paga,upsell,,2020-04-07 00:00:00
22,4706,44897,,2053.06,aberta,upsell,pix,22/11/2022 00:00
23,2630,2022-03-28,,"3206,71",atrasada,mensalidade,pix,2022-03-18 00:00:00
24,6198,06/10/2024,,3526.33,aberta,upsell,cartao,26/09/2024
25,7226,2020-03-15,2020-03-13,"R$ 3608,00",Paga,setup,cartao,2020-03-05
26,6037,2022-11-10,44878,3070.17,Paga,mensalidade,pix,2022-10-31
27,1566,2021-11-27,2021-11-25 00:00:00,"2667,06",paga,Mensal,cartao,17/11/2021
28,2590,2023-02-26,2023-03-08 00:00:00,"4063,85",Paga,Mensal,cartao,16/02/2023
29,3119,2020-07-15 00:00:00,11/07/2020,"R$ 4190,00",pago,Mensal,boleto,44017
30,4524,16/12/2021,20/12/2021 00:00,3014.79,pago,mensalidade,cartao,2021-12-06 00:00:00
31,3398,2023-06-24,22/06/2023 00:00,2643.64,Paga,upsell,pix,2023-06-14
32,2803,23/03/2020 00:00,2020-03-18 00:00:00,"3338,70",pago,setup,cartao,13/03/2020 00:00
33,3598,01/08/2021,,"2063,10",em aberto,upsell,pix,22/07/2021
